target_sex,dem_sex,metric,r1,r2,t,p,m1,cil_1,ciu_1,m2,cil_2,ciu_2
F,F,auroc,0.1,0.25,2.959973246795533,0.04155553881109016,0.8587287957077183,0.8452685787121504,0.8721890127032862,0.8421399452312801,0.8354495231301443,0.8488303673324159
F,F,auroc,0.1,0.5,1.3939863762124132,0.23577081664368385,0.8587287957077183,0.8452685787121504,0.8721890127032862,0.8378362638315799,0.8237619147911233,0.8519106128720366
F,F,auroc,0.1,0.75,1.1872858706010236,0.300803280104884,0.8587287957077183,0.8452685787121504,0.8721890127032862,0.8459810663791927,0.8293481510750138,0.8626139816833716
F,F,auroc,0.1,1.0,8.99795891479884,0.0008445683175314566,0.8587287957077183,0.8452685787121504,0.8721890127032862,0.7666810403578553,0.7540852145600571,0.7792768661556536
F,F,auroc,0.25,0.5,0.3896291581925784,0.7166663985495256,0.8421399452312801,0.8354495231301443,0.8488303673324159,0.8378362638315799,0.8237619147911233,0.8519106128720366
F,F,auroc,0.25,0.75,-0.4718911034008718,0.661594901008737,0.8421399452312801,0.8354495231301443,0.8488303673324159,0.8459810663791927,0.8293481510750138,0.8626139816833716
F,F,auroc,0.25,1.0,11.423263635504945,0.0003350597333190896,0.8421399452312801,0.8354495231301443,0.8488303673324159,0.7666810403578553,0.7540852145600571,0.7792768661556536
F,F,auroc,0.5,0.75,-0.5807047581476884,0.5925848700678273,0.8378362638315799,0.8237619147911233,0.8519106128720366,0.8459810663791927,0.8293481510750138,0.8626139816833716
F,F,auroc,0.5,1.0,5.973349287459892,0.003946381451229582,0.8378362638315799,0.8237619147911233,0.8519106128720366,0.7666810403578553,0.7540852145600571,0.7792768661556536
F,F,auroc,0.75,1.0,25.995215250647544,1.3010833658396102e-05,0.8459810663791927,0.8293481510750138,0.8626139816833716,0.7666810403578553,0.7540852145600571,0.7792768661556536
F,All,fnr,0.0,0.05,-1.6651620224817965,0.17121095198745603,0.18126501200960765,0.1696180098680379,0.1929120141511774,0.20208166533226576,0.18996219623013688,0.21420113443439465
F,All,fnr,0.0,0.1,-1.195512559158505,0.2979155753142811,0.18126501200960765,0.1696180098680379,0.1929120141511774,0.20656525220176136,0.1685808921492894,0.24454961225423333
F,All,fnr,0.0,0.25,-3.2550384929446206,0.031226728813123942,0.18126501200960765,0.1696180098680379,0.1929120141511774,0.2277021617293835,0.19988264685876653,0.25552167660000047
F,All,fnr,0.0,0.5,-3.7022047878881663,0.020795272797577112,0.18126501200960765,0.1696180098680379,0.1929120141511774,0.2145716573258607,0.19936391677898238,0.22977939787273902
F,All,fnr,0.0,0.75,-1.9819923780433177,0.11853109271354537,0.18126501200960765,0.1696180098680379,0.1929120141511774,0.21072858286629303,0.1736804762118248,0.24777668952076126
F,All,fnr,0.0,1.0,-28.925812126172673,8.502693865272496e-06,0.18126501200960765,0.1696180098680379,0.1929120141511774,0.33706965572457964,0.33252160504260486,0.3416177064065544
F,All,fnr,0.05,0.1,-0.17746417266065648,0.8677679886106993,0.20208166533226576,0.18996219623013688,0.21420113443439465,0.20656525220176136,0.1685808921492894,0.24454961225423333
F,All,fnr,0.05,0.25,-1.4137994239790217,0.2303123827843694,0.20208166533226576,0.18996219623013688,0.21420113443439465,0.2277021617293835,0.19988264685876653,0.25552167660000047
F,All,fnr,0.05,0.5,-1.0758364845733053,0.3425635953390543,0.20208166533226576,0.18996219623013688,0.21420113443439465,0.2145716573258607,0.19936391677898238,0.22977939787273902
F,All,fnr,0.05,0.75,-0.3354360800371793,0.754151103622828,0.20208166533226576,0.18996219623013688,0.21420113443439465,0.21072858286629303,0.1736804762118248,0.24777668952076126
F,All,fnr,0.05,1.0,-15.393569674676147,0.00010391380158297485,0.20208166533226576,0.18996219623013688,0.21420113443439465,0.33706965572457964,0.33252160504260486,0.3416177064065544
F,All,fnr,0.1,0.25,-0.6569969955860787,0.5470627915777577,0.20656525220176136,0.1685808921492894,0.24454961225423333,0.2277021617293835,0.19988264685876653,0.25552167660000047
F,All,fnr,0.1,0.5,-0.27870402938427136,0.7942870061049591,0.20656525220176136,0.1685808921492894,0.24454961225423333,0.2145716573258607,0.19936391677898238,0.22977939787273902
F,All,fnr,0.1,0.75,-0.13815234648273672,0.8967956842197278,0.20656525220176136,0.1685808921492894,0.24454961225423333,0.21072858286629303,0.1736804762118248,0.24777668952076126
F,All,fnr,0.1,1.0,-6.392894263320057,0.00307356223162209,0.20656525220176136,0.1685808921492894,0.24454961225423333,0.33706965572457964,0.33252160504260486,0.3416177064065544
F,All,fnr,0.25,0.5,1.4801829869352805,0.21292852527801562,0.2277021617293835,0.19988264685876653,0.25552167660000047,0.2145716573258607,0.19936391677898238,0.22977939787273902
F,All,fnr,0.25,0.75,1.063676034454704,0.34742576450286417,0.2277021617293835,0.19988264685876653,0.25552167660000047,0.21072858286629303,0.1736804762118248,0.24777668952076126
F,All,fnr,0.25,1.0,-7.416250155831622,0.0017641047449394405,0.2277021617293835,0.19988264685876653,0.25552167660000047,0.33706965572457964,0.33252160504260486,0.3416177064065544
F,All,fnr,0.5,0.75,0.21645791404259956,0.8392219916560222,0.2145716573258607,0.19936391677898238,0.22977939787273902,0.21072858286629303,0.1736804762118248,0.24777668952076126
