target_age,dem_age,metric,r1,r2,t,p,m1,cil_1,ciu_1,m2,cil_2,ciu_2
0-20,40-60,auroc,0.05,0.25,1.0321544890783616,0.3603171976067064,0.8573051035928975,0.8546677101865787,0.8599424969992162,0.853660133484732,0.8454430094090961,0.8618772575603679
0-20,40-60,auroc,0.05,0.5,-0.32291868919217437,0.7629322578538216,0.8573051035928975,0.8546677101865787,0.8599424969992162,0.8583437361149313,0.8533219368164269,0.8633655354134357
0-20,40-60,auroc,0.05,0.75,-1.2000845897297312,0.2963219822053998,0.8573051035928975,0.8546677101865787,0.8599424969992162,0.864075257365992,0.8548621623116337,0.8732883524203503
0-20,40-60,auroc,0.05,1.0,-0.5945553969693925,0.5841393269401538,0.8573051035928975,0.8546677101865787,0.8599424969992162,0.8599543453065236,0.8517837595991727,0.8681249310138744
0-20,40-60,auroc,0.1,0.25,-0.1803674112202435,0.8656335210773005,0.8527424553385664,0.8431119550788789,0.8623729555982539,0.853660133484732,0.8454430094090961,0.8618772575603679
0-20,40-60,auroc,0.1,0.5,-1.0263245809389332,0.3627473855091886,0.8527424553385664,0.8431119550788789,0.8623729555982539,0.8583437361149313,0.8533219368164269,0.8633655354134357
0-20,40-60,auroc,0.1,0.75,-1.4177407984943347,0.2292416420806107,0.8527424553385664,0.8431119550788789,0.8623729555982539,0.864075257365992,0.8548621623116337,0.8732883524203503
0-20,40-60,auroc,0.1,1.0,-0.9484017180425898,0.39662862695736073,0.8527424553385664,0.8431119550788789,0.8623729555982539,0.8599543453065236,0.8517837595991727,0.8681249310138744
0-20,40-60,auroc,0.25,0.5,-0.7230674561217065,0.5096572635370529,0.853660133484732,0.8454430094090961,0.8618772575603679,0.8583437361149313,0.8533219368164269,0.8633655354134357
0-20,40-60,auroc,0.25,0.75,-1.3404401911638477,0.25117126915300303,0.853660133484732,0.8454430094090961,0.8618772575603679,0.864075257365992,0.8548621623116337,0.8732883524203503
0-20,40-60,auroc,0.25,1.0,-1.0090700039503857,0.3700246240338469,0.853660133484732,0.8454430094090961,0.8618772575603679,0.8599543453065236,0.8517837595991727,0.8681249310138744
0-20,40-60,auroc,0.5,0.75,-0.8314061037398159,0.45249432367395404,0.8583437361149313,0.8533219368164269,0.8633655354134357,0.864075257365992,0.8548621623116337,0.8732883524203503
0-20,40-60,auroc,0.5,1.0,-0.3796387143777426,0.7235088601847071,0.8583437361149313,0.8533219368164269,0.8633655354134357,0.8599543453065236,0.8517837595991727,0.8681249310138744
0-20,40-60,auroc,0.75,1.0,0.4991657616514052,0.6438677814857656,0.864075257365992,0.8548621623116337,0.8732883524203503,0.8599543453065236,0.8517837595991727,0.8681249310138744
0-20,60-80,auroc,0.0,0.05,-4.349957790528996,0.01215748730612638,0.8081315300855992,0.8025983478740396,0.8136647122971589,0.822838777693857,0.819523367037173,0.8261541883505411
0-20,60-80,auroc,0.0,0.1,-2.6567347026134063,0.05658269885368654,0.8081315300855992,0.8025983478740396,0.8136647122971589,0.8246317975830817,0.8127437338594339,0.8365198613067295
0-20,60-80,auroc,0.0,0.25,-4.155730236534805,0.014194187739534294,0.8081315300855992,0.8025983478740396,0.8136647122971589,0.8269527316213494,0.8162990129987696,0.8376064502439292
0-20,60-80,auroc,0.0,0.5,-5.722759462184897,0.004614428518362206,0.8081315300855992,0.8025983478740396,0.8136647122971589,0.8232368768882175,0.8174606963883824,0.8290130573880525
0-20,60-80,auroc,0.0,0.75,-7.954195536734606,0.0013531196273974511,0.8081315300855992,0.8025983478740396,0.8136647122971589,0.8361656596173213,0.8301829404821947,0.8421483787524479
0-20,60-80,auroc,0.0,1.0,-2.5778159997715857,0.061469012877817406,0.8081315300855992,0.8025983478740396,0.8136647122971589,0.8203762273413897,0.8084620104975663,0.8322904441852131
0-20,60-80,auroc,0.05,0.1,-0.2605797680029122,0.8072814387084289,0.822838777693857,0.819523367037173,0.8261541883505411,0.8246317975830817,0.8127437338594339,0.8365198613067295
