target_age,rate,metric,g1,g2,t,p,p_bh,m1,cil_1,ciu_1,m2,cil_2,ciu_2
20-40,0.0,fnr,All,20-40,0.9867534701078018,0.3526635048158141,0.43910530689837135,0.18126501200960765,0.1696180098680379,0.1929120141511774,0.1708994708994708,0.15663528950994135,0.18516365228900025
20-40,0.0,fnr,All,40-60,-1.1628916242748817,0.27838553349137646,0.389739746887927,0.18126501200960765,0.1696180098680379,0.1929120141511774,0.19470198675496686,0.17812923793421903,0.2112747355757147
20-40,0.0,fnr,All,60-80,-2.546763595532527,0.03434724568504398,0.07212921593859235,0.18126501200960765,0.1696180098680379,0.1929120141511774,0.21484375,0.1948790594966811,0.2348084405033189
20-40,0.0,fnr,All,80+,0.9806953807309825,0.3554662008224911,0.43910530689837135,0.18126501200960765,0.1696180098680379,0.1929120141511774,0.14999999999999997,0.09533921602296283,0.2046607839770371
20-40,0.05,fnr,All,0-20,2.5844887371811414,0.032389454632309314,0.07212921593859235,0.20784627702161726,0.1766961217040156,0.2389964323392189,0.1293333333333333,0.08613896024683798,0.17252770641982862
20-40,0.05,fnr,All,20-40,0.19578212999141512,0.8496621811022028,0.892145290157313,0.20784627702161726,0.1766961217040156,0.2389964323392189,0.20317460317460312,0.1752558911437011,0.23109331520550513
20-40,0.05,fnr,All,40-60,-0.24872565030680052,0.8098392767270527,0.9425705321718121,0.20784627702161726,0.1766961217040156,0.2389964323392189,0.21412803532008823,0.18266536263301664,0.24559070800715982
20-40,0.05,fnr,All,60-80,-1.4226382323611626,0.19264124889374343,0.674244371128102,0.20784627702161726,0.1766961217040156,0.2389964323392189,0.2484375,0.20930287204689801,0.287572127953102
20-40,0.05,fnr,All,80+,-0.7101785404366971,0.4977695103742745,0.7877478171724276,0.20784627702161726,0.1766961217040156,0.2389964323392189,0.2333333333333333,0.17867254935629617,0.28799411731037045
20-40,0.1,fnr,All,0-20,5.174075819786257,0.0008488882665614862,0.008913326798895605,0.1907125700560448,0.17480584426279738,0.20661929584929223,0.12533333333333327,0.10991716479593042,0.14074950187073612
20-40,0.1,fnr,All,20-40,0.08799790103743789,0.932041252698337,0.9425705321718121,0.1907125700560448,0.17480584426279738,0.20661929584929223,0.18941798941798935,0.16911784923041503,0.20971812960556366
20-40,0.1,fnr,All,40-60,-0.8359144001049453,0.427462473598223,0.7877478171724276,0.1907125700560448,0.17480584426279738,0.20661929584929223,0.2030905077262693,0.18257661677910988,0.2236043986734287
20-40,0.1,fnr,All,60-80,-1.4886312810118545,0.1749074015649006,0.674244371128102,0.1907125700560448,0.17480584426279738,0.20661929584929223,0.20859375,0.1947957501467099,0.22239174985329008
20-40,0.1,fnr,All,80+,-0.41576248635974333,0.6885123356368865,0.9036724405234136,0.1907125700560448,0.17480584426279738,0.20661929584929223,0.19999999999999998,0.1642161171256568,0.23578388287434315
20-40,0.25,fnr,All,0-20,3.424541425886769,0.009027240586991045,0.06319068410893731,0.2158526821457165,0.20203208049468407,0.22967328379674895,0.16399999999999998,0.14133812978920274,0.18666187021079722
20-40,0.25,fnr,All,20-40,-0.07433295154334649,0.9425705321718121,0.9425705321718121,0.2158526821457165,0.20203208049468407,0.22967328379674895,0.2169312169312169,0.19557770976245548,0.2382847240999783
20-40,0.25,fnr,All,40-60,-0.6038398124138543,0.5626770122660197,0.7877478171724276,0.2158526821457165,0.20203208049468407,0.22967328379674895,0.22384105960264894,0.2052174370982835,0.24246468210701438
20-40,0.25,fnr,All,60-80,-0.7145184249240855,0.4952244918590002,0.7877478171724276,0.2158526821457165,0.20203208049468407,0.22967328379674895,0.228125,0.20137459349667433,0.2548754065033257
20-40,0.25,fnr,All,80+,-1.0322450370636316,0.3321511269195599,0.7877478171724276,0.2158526821457165,0.20203208049468407,0.22967328379674895,0.26666666666666666,0.1814839871858394,0.3518493461474939
20-40,0.5,fnr,All,0-20,1.1181095336389995,0.29596890604464476,0.7877478171724276,0.1687750200160128,0.15308652092295236,0.18446351910907324,0.13999999999999999,0.09770028188122579,0.18229971811877418
20-40,0.5,fnr,All,20-40,-0.20339602071927007,0.8439037890052289,0.9425705321718121,0.1687750200160128,0.15308652092295236,0.18446351910907324,0.17248677248677247,0.14460660625919033,0.2003669387143546
20-40,0.5,fnr,All,40-60,-0.8119141945998222,0.44032851871439727,0.7877478171724276,0.1687750200160128,0.15308652092295236,0.18446351910907324,0.17880794701986752,0.16387009968213473,0.1937457943576003
20-40,0.5,fnr,All,60-80,0.16748737970495708,0.8711429870078964,0.9425705321718121,0.1687750200160128,0.15308652092295236,0.18446351910907324,0.16640625,0.14720787845820932,0.1856046215417907
20-40,0.5,fnr,All,80+,9.547320471896203,1.1982432846029277e-05,0.0002516310897666148,0.1687750200160128,0.15308652092295236,0.18446351910907324,0.0833333333333333,0.0833333333333333,0.0833333333333333
20-40,0.75,fnr,All,0-20,0.7426150899920474,0.4789502065282488,0.7877478171724276,0.20816653322658124,0.18402287199552603,0.23231019445763645,0.184,0.1323124138582057,0.2356875861417943
