target_sex,rate,metric,g1,g2,t,p,p_bh,m1,cil_1,ciu_1,m2,cil_2,ciu_2
F,0.75,auroc,All,F,-0.056239556367642315,0.9565302150812565,0.9618357814656686,0.8452979756785994,0.8320042639427747,0.8585916874144242,0.8459810663791927,0.8293481510750138,0.8626139816833716
F,1.0,auroc,All,M,-10.05145419407897,8.168985377449213e-06,0.00017154869292643345,0.791271200055338,0.7826674373736486,0.7998749627370274,0.8500542506114602,0.8444790821643582,0.8556294190585623
F,1.0,auroc,All,F,2.8260205590092466,0.022286317477649555,0.16032034157635014,0.791271200055338,0.7826674373736486,0.7998749627370274,0.7666810403578553,0.7540852145600571,0.7792768661556536
F,0.0,fnr,All,M,-0.17010451278513777,0.8691510263330736,0.9618357814656686,0.18126501200960765,0.1696180098680379,0.1929120141511774,0.1829207920792079,0.17044977875979056,0.19539180539862522
F,0.0,fnr,All,F,0.2553792899258873,0.8048733199898483,0.9618357814656686,0.18126501200960765,0.1696180098680379,0.1929120141511774,0.17823129251700676,0.16096793203616125,0.19549465299785226
F,0.05,fnr,All,M,1.0575936718429464,0.32112736789346263,0.9033690320348663,0.20208166533226576,0.18996219623013688,0.21420113443439465,0.1908415841584158,0.17669080131008974,0.20499236700674184
F,0.05,fnr,All,F,-2.0189575197397507,0.0781848889893027,0.32837653375507136,0.20208166533226576,0.18996219623013688,0.21420113443439465,0.2226757369614512,0.209527632192352,0.23582384173055043
F,0.1,fnr,All,M,0.531620568912019,0.6094293231642055,0.9618357814656686,0.20656525220176136,0.1685808921492894,0.24454961225423333,0.19207920792079203,0.16311348910300053,0.22104492673858353
F,0.1,fnr,All,F,-0.6960857147281688,0.5060911467248337,0.9618357814656686,0.20656525220176136,0.1685808921492894,0.24454961225423333,0.2331065759637188,0.1781055440283792,0.2881076078990584
F,0.25,fnr,All,M,1.0223813017266343,0.33651901504631226,0.9033690320348663,0.2277021617293835,0.19988264685876653,0.25552167660000047,0.20569306930693063,0.18019299478794473,0.23119314382591652
F,0.25,fnr,All,F,-1.5650282208130097,0.15620746637052588,0.2523351379831572,0.2277021617293835,0.19988264685876653,0.25552167660000047,0.26802721088435366,0.23244121173000248,0.30361321003870484
F,0.5,fnr,All,M,3.5765786652259077,0.007224149539756964,0.021672448619270892,0.2145716573258607,0.19936391677898238,0.22977939787273902,0.17450495049504947,0.16207931396643174,0.1869305870236672
F,0.5,fnr,All,F,-3.980854168341599,0.004056847318063046,0.017038758735864794,0.2145716573258607,0.19936391677898238,0.22977939787273902,0.2879818594104308,0.25945472754901666,0.31650899127184495
F,0.75,fnr,All,M,2.2680095346634346,0.05305499828007173,0.10128681489831876,0.21072858286629303,0.1736804762118248,0.24777668952076126,0.1527227722772277,0.12747126774107945,0.17797427681337594
F,0.75,fnr,All,F,-2.6512910292145166,0.029197261019051953,0.0681269423777879,0.21072858286629303,0.1736804762118248,0.24777668952076126,0.3170068027210884,0.2572946758372452,0.3767189296049316
F,1.0,fnr,All,M,25.605874964810486,5.801471083399932e-09,1.2183089275139857e-07,0.33706965572457964,0.33252160504260486,0.3416177064065544,0.1574257425742574,0.14599867088192997,0.16885281426658483
