target_sex,target_age,trial,rate,dem_sex,dem_age,auroc,tpr,fnr,tnr,fpr,ppv,npv,fomr,tn,fp,fn,tp
F,,1,0.5,F,0-20,0.8520534388916378,0.9069767441860465,0.09302325581395349,0.6063829787234043,0.39361702127659576,0.5131578947368421,0.9344262295081968,0.06557377049180328,57,37,4,39
F,,1,0.5,F,20-40,0.87377381704519,0.8934426229508197,0.10655737704918032,0.7281947261663286,0.2718052738336714,0.448559670781893,0.9650537634408602,0.03494623655913978,359,134,13,109
F,,1,0.5,F,40-60,0.8266161936712304,0.7926829268292683,0.2073170731707317,0.7472118959107806,0.2527881040892193,0.38922155688622756,0.9466248037676609,0.05337519623233909,603,204,34,130
F,,1,0.5,F,60-80,0.8189669569366574,0.8118811881188119,0.18811881188118812,0.6939759036144578,0.3060240963855422,0.3923444976076555,0.9381107491856677,0.06188925081433225,288,127,19,82
F,,1,0.5,F,80+,0.8571428571428572,0.8181818181818182,0.18181818181818182,0.5714285714285714,0.42857142857142855,0.5,0.8571428571428571,0.14285714285714285,12,9,2,9
F,,2,0.5,,,0.8149524067861172,0.7269815852682145,0.27301841473178545,0.7520487005385156,0.24795129946148442,0.4616166751398068,0.9040247678018576,0.09597523219814241,3212,1059,341,908
F,,2,0.5,M,,0.8065993587273517,0.745049504950495,0.25495049504950495,0.7222449815649324,0.2777550184350676,0.4703125,0.8953783646521076,0.10462163534789233,1763,678,206,602
F,,2,0.5,F,,0.8241490403082908,0.6938775510204082,0.30612244897959184,0.7918032786885246,0.2081967213114754,0.44541484716157204,0.9147727272727273,0.08522727272727272,1449,381,135,306
F,,2,0.5,,0-20,0.8416603773584905,0.86,0.14,0.7245283018867924,0.27547169811320754,0.6386138613861386,0.9014084507042254,0.09859154929577464,192,73,21,129
F,,2,0.5,,20-40,0.8322203894218478,0.7275132275132276,0.2724867724867725,0.7748404740200547,0.22515952597994532,0.5268199233716475,0.8919202518363064,0.1080797481636936,850,247,103,275
F,,2,0.5,,40-60,0.8064224540220563,0.7041942604856513,0.2958057395143488,0.7529286474973376,0.2470713525026624,0.4074074074074074,0.91343669250646,0.08656330749354005,1414,464,134,319
F,,2,0.5,,60-80,0.7856047016616314,0.68359375,0.31640625,0.7351460221550856,0.2648539778449144,0.3995433789954338,0.9001233045622689,0.0998766954377312,730,263,81,175
F,,2,0.5,,80+,0.8289473684210525,0.8333333333333334,0.16666666666666666,0.6842105263157895,0.3157894736842105,0.45454545454545453,0.9285714285714286,0.07142857142857142,26,12,2,10
F,,2,0.5,M,0-20,0.8417226867792534,0.8691588785046729,0.1308411214953271,0.7309941520467836,0.26900584795321636,0.6690647482014388,0.8992805755395683,0.10071942446043165,125,46,14,93
F,,2,0.5,M,20-40,0.8151160233857617,0.72265625,0.27734375,0.7450331125827815,0.25496688741721857,0.5457227138643068,0.8637236084452975,0.1362763915547025,450,154,71,185
F,,2,0.5,M,40-60,0.8085061014024987,0.754325259515571,0.24567474048442905,0.7189542483660131,0.28104575163398693,0.42003853564547206,0.915576694411415,0.08442330558858502,770,301,71,218
F,,2,0.5,M,60-80,0.7709565799754438,0.6838709677419355,0.3161290322580645,0.7041522491349481,0.2958477508650519,0.38267148014440433,0.8925438596491229,0.1074561403508772,407,171,49,106
F,,2,0.5,M,80+,0.11764705882352944,0.0,1.0,0.6470588235294118,0.35294117647058826,0.0,0.9166666666666666,0.08333333333333333,11,6,1,0
F,,2,0.5,F,0-20,0.8414151410192974,0.8372093023255814,0.16279069767441862,0.7127659574468085,0.2872340425531915,0.5714285714285714,0.9054054054054054,0.0945945945945946,67,27,7,36
F,,2,0.5,F,20-40,0.8562830445914941,0.7377049180327869,0.26229508196721313,0.8113590263691683,0.18864097363083165,0.4918032786885246,0.9259259259259259,0.07407407407407407,400,93,32,90
F,,2,0.5,F,40-60,0.7982893583582678,0.6158536585365854,0.38414634146341464,0.7980173482032218,0.20198265179677818,0.38257575757575757,0.9108910891089109,0.0891089108910891,644,163,63,101
F,,2,0.5,F,60-80,0.805272575450316,0.6831683168316832,0.31683168316831684,0.7783132530120482,0.2216867469879518,0.42857142857142855,0.9098591549295775,0.09014084507042254,323,92,32,69
F,,2,0.5,F,80+,0.8917748917748918,0.9090909090909091,0.09090909090909091,0.7142857142857143,0.2857142857142857,0.625,0.9375,0.0625,15,6,1,10
