target_sex,target_age,trial,rate,dem_sex,dem_age,auroc,tpr,fnr,tnr,fpr,ppv,npv,fomr,tn,fp,fn,tp
F,,3,0.5,M,,0.8390820390928893,0.8452970297029703,0.1547029702970297,0.6878328553871365,0.3121671446128636,0.4726643598615917,0.9307095343680709,0.06929046563192905,1679,762,125,683
F,,3,0.5,F,,0.835555059911032,0.7324263038548753,0.2675736961451247,0.7934426229508197,0.20655737704918034,0.4607703281027104,0.9248407643312102,0.0751592356687898,1452,378,118,323
F,,3,0.5,,0-20,0.8699119496855345,0.8933333333333333,0.10666666666666667,0.6716981132075471,0.3283018867924528,0.6063348416289592,0.9175257731958762,0.08247422680412371,178,87,16,134
F,,3,0.5,,20-40,0.8452200083922964,0.8015873015873016,0.1984126984126984,0.7338195077484048,0.26618049225159524,0.5092436974789916,0.9147727272727273,0.08522727272727272,805,292,75,303
F,,3,0.5,,40-60,0.8353551168755452,0.8079470198675497,0.19205298013245034,0.7470713525026624,0.25292864749733757,0.4351961950059453,0.9416107382550336,0.05838926174496644,1403,475,87,366
F,,3,0.5,,60-80,0.8062531470292045,0.7578125,0.2421875,0.7210473313192346,0.27895266868076535,0.4118895966029724,0.9203084832904884,0.07969151670951156,716,277,62,194
F,,3,0.5,,80+,0.7828947368421053,0.75,0.25,0.7631578947368421,0.23684210526315788,0.5,0.90625,0.09375,29,9,3,9
F,,3,0.5,M,0-20,0.8751161392578019,0.9065420560747663,0.09345794392523364,0.6374269005847953,0.36257309941520466,0.610062893081761,0.9159663865546218,0.08403361344537816,109,62,10,97
F,,3,0.5,M,20-40,0.8363966783940397,0.83203125,0.16796875,0.6788079470198676,0.3211920529801324,0.5233415233415234,0.9050772626931567,0.09492273730684327,410,194,43,213
F,,3,0.5,M,40-60,0.8427204791951384,0.8719723183391004,0.12802768166089964,0.6890756302521008,0.31092436974789917,0.4307692307692308,0.952258064516129,0.04774193548387097,738,333,37,252
F,,3,0.5,M,60-80,0.8058377051010157,0.7741935483870968,0.22580645161290322,0.7076124567474048,0.29238754325259514,0.41522491349480967,0.9211711711711712,0.07882882882882883,409,169,35,120
F,,3,0.5,M,80+,0.8235294117647058,1.0,0.0,0.7647058823529411,0.23529411764705882,0.2,1.0,0.0,13,4,0,1
F,,3,0.5,F,0-20,0.8527956457199406,0.8604651162790697,0.13953488372093023,0.7340425531914894,0.26595744680851063,0.5967741935483871,0.92,0.08,69,25,6,37
F,,3,0.5,F,20-40,0.8533734579190635,0.7377049180327869,0.26229508196721313,0.8012170385395537,0.19878296146044624,0.4787234042553192,0.9250585480093677,0.07494145199063232,395,98,32,90
F,,3,0.5,F,40-60,0.8287016048599148,0.6951219512195121,0.3048780487804878,0.8240396530359355,0.17596034696406443,0.4453125,0.9300699300699301,0.06993006993006994,665,142,50,114
F,,3,0.5,F,60-80,0.8074674937373255,0.7326732673267327,0.26732673267326734,0.7397590361445783,0.26024096385542167,0.4065934065934066,0.9191616766467066,0.08083832335329341,307,108,27,74
F,,3,0.5,F,80+,0.7878787878787878,0.7272727272727273,0.2727272727272727,0.7619047619047619,0.23809523809523808,0.6153846153846154,0.8421052631578947,0.15789473684210525,16,5,3,8
F,,4,0.5,,,0.8077844153102861,0.699759807846277,0.300240192153723,0.7665652072114258,0.2334347927885741,0.467129877071085,0.8972321183885996,0.10276788161140038,3274,997,375,874
F,,4,0.5,M,,0.8207367131633277,0.7747524752475248,0.22524752475247525,0.7165096272019664,0.2834903727980336,0.47496206373292865,0.905748316934231,0.09425168306576903,1749,692,182,626
F,,4,0.5,F,,0.7850501220524639,0.562358276643991,0.4376417233560091,0.8333333333333334,0.16666666666666666,0.4484629294755877,0.8876600698486612,0.11233993015133877,1525,305,193,248
F,,4,0.5,,0-20,0.8591446540880503,0.7866666666666666,0.21333333333333335,0.769811320754717,0.23018867924528302,0.659217877094972,0.864406779661017,0.13559322033898305,204,61,32,118
F,,4,0.5,,20-40,0.8350069694645812,0.7566137566137566,0.24338624338624337,0.764813126709207,0.23518687329079307,0.5257352941176471,0.9011815252416756,0.09881847475832438,839,258,92,286
F,,4,0.5,,40-60,0.7984787254300404,0.6710816777041942,0.32891832229580575,0.7763578274760383,0.22364217252396165,0.4198895027624309,0.9072806471686372,0.09271935283136279,1458,420,149,304
F,,4,0.5,,60-80,0.7534892686304129,0.62890625,0.37109375,0.7472306143001007,0.2527693856998993,0.3907766990291262,0.8864994026284349,0.1135005973715651,742,251,95,161
