target_sex,target_age,trial,rate,dem_sex,dem_age,auroc,tpr,fnr,tnr,fpr,ppv,npv,fomr,tn,fp,fn,tp
F,,0,0.1,M,,0.7756316393622156,0.6905940594059405,0.3094059405940594,0.7398607128226137,0.2601392871773863,0.4677284157585918,0.8784046692607004,0.12159533073929961,1806,635,250,558
F,,0,0.1,F,,0.7861108013332838,0.7482993197278912,0.25170068027210885,0.6846994535519125,0.3153005464480874,0.3638368246968026,0.9186217008797654,0.0813782991202346,1253,577,111,330
F,,0,0.1,,0-20,0.7682767295597485,0.8666666666666667,0.13333333333333333,0.5773584905660377,0.4226415094339623,0.5371900826446281,0.884393063583815,0.11560693641618497,153,112,20,130
F,,0,0.1,,20-40,0.7938437200059808,0.746031746031746,0.25396825396825395,0.7010027347310848,0.29899726526891524,0.46229508196721314,0.8890173410404625,0.11098265895953757,769,328,96,282
F,,0,0.1,,40-60,0.7672362924251293,0.6622516556291391,0.33774834437086093,0.7497337593184239,0.25026624068157616,0.38961038961038963,0.9019859064702114,0.0980140935297886,1408,470,153,300
F,,0,0.1,,60-80,0.7426831570996979,0.65234375,0.34765625,0.7069486404833837,0.2930513595166163,0.3646288209606987,0.8874841972187105,0.1125158027812895,702,291,89,167
F,,0,0.1,,80+,0.7828947368421052,0.75,0.25,0.7105263157894737,0.2894736842105263,0.45,0.9,0.1,27,11,3,9
F,,0,0.1,M,0-20,0.7641143356834453,0.8598130841121495,0.14018691588785046,0.5906432748538012,0.4093567251461988,0.5679012345679012,0.8706896551724138,0.12931034482758622,101,70,15,92
F,,0,0.1,M,20-40,0.7927423944536425,0.703125,0.296875,0.7384105960264901,0.26158940397350994,0.5325443786982249,0.8544061302681992,0.14559386973180077,446,158,76,180
F,,0,0.1,M,40-60,0.764563726297901,0.6470588235294118,0.35294117647058826,0.7675070028011205,0.23249299719887956,0.4288990825688073,0.8896103896103896,0.11038961038961038,822,249,102,187
F,,0,0.1,M,60-80,0.7460542471257953,0.6387096774193548,0.36129032258064514,0.7318339100346021,0.2681660899653979,0.38976377952755903,0.8830897703549061,0.11691022964509394,423,155,56,99
F,,0,0.1,M,80+,0.05882352941176472,0.0,1.0,0.8235294117647058,0.17647058823529413,0.0,0.9333333333333333,0.06666666666666667,14,3,1,0
F,,0,0.1,F,0-20,0.7795645719940623,0.8837209302325582,0.11627906976744186,0.5531914893617021,0.44680851063829785,0.475,0.9122807017543859,0.08771929824561403,52,42,5,38
F,,0,0.1,F,20-40,0.82156751903701,0.8360655737704918,0.16393442622950818,0.6551724137931034,0.3448275862068966,0.375,0.9416909620991254,0.05830903790087463,323,170,20,102
